,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
34,sj_d7a6cda0bc7d040d,14,6,4,2970.0,1501.0,524.0,648.0,369.0,147.0,19.210884353741495,10.210884353741497,4.408163265306122
35,sj_40cb2d88c16bd57a,24,8,7,1374.0,643.0,312.0,310.0,223.0,72.0,18.09722222222222,8.930555555555555,4.305555555555555
37,sj_ee57733fd06efb6f,19,8,6,1745.0,820.0,362.0,424.0,272.0,93.0,17.774193548387096,8.817204301075268,4.559139784946237
39,sj_c0f6cb934ab75b65,34,8,8,1588.0,726.0,357.0,372.0,271.0,72.0,21.069444444444443,10.083333333333334,5.166666666666667
40,sj_45d9e6fbc6a715e1,11,3,3,1652.0,808.0,338.0,412.0,259.0,82.0,19.158536585365855,9.853658536585366,5.012195121951219
50,sj_2c8742e7e85f3f93,13,4,3,1154.0,577.0,260.0,268.0,186.0,60.0,18.25,9.616666666666667,4.466666666666667
55,sj_a06ebb508b616b5e,26,14,6,5864.0,3046.0,904.0,1295.0,651.0,153.0,37.333333333333336,19.908496732026144,8.457516339869281
100,sj_5bfb152be7bc737a,52,22,11,1293.0,631.0,285.0,301.0,192.0,55.0,22.527272727272727,11.472727272727273,5.472727272727273
101,sj_6ecfbf32d830e24a,33,12,8,1429.0,761.0,307.0,321.0,209.0,54.0,25.48148148148148,14.092592592592593,5.944444444444445
103,sj_61252097c9969b68,37,16,8,1913.0,988.0,397.0,427.0,263.0,87.0,21.0,11.35632183908046,4.896551724137931
104,sj_0b4873bd942a37ba,30,12,7,1576.0,809.0,339.0,360.0,237.0,54.0,28.203703703703702,14.981481481481481,6.666666666666667
105,sj_e85b76d22330ef2d,37,16,8,1331.0,658.0,308.0,286.0,193.0,73.0,17.246575342465754,9.013698630136986,3.904109589041096
106,sj_90c3aabd39763d35,37,16,8,1680.0,875.0,354.0,342.0,222.0,81.0,19.753086419753085,10.802469135802468,4.222222222222222
107,sj_422838c7041d4a26,52,21,11,1336.0,653.0,299.0,315.0,206.0,57.0,22.45614035087719,11.456140350877194,5.526315789473684
108,sj_ac5df4ed8ee930d4,37,16,8,1926.0,996.0,401.0,430.0,266.0,80.0,23.0875,12.45,5.3625
109,sj_77381569cab3f408,32,13,9,1396.0,735.0,307.0,319.0,211.0,54.0,24.87037037037037,13.61111111111111,5.907407407407407
110,sj_01c3c087eab2dff3,38,16,8,1597.0,811.0,358.0,379.0,243.0,73.0,20.89041095890411,11.10958904109589,5.191780821917808
111,sj_8fa47853bdcf9138,37,16,12,1574.0,842.0,327.0,380.0,230.0,54.0,28.166666666666668,15.592592592592593,7.037037037037037
112,sj_1f481e5e915f4f1c,37,16,8,1685.0,869.0,351.0,344.0,219.0,80.0,20.075,10.8625,4.3
113,sj_5fd535fdc12b29a5,38,16,8,1676.0,858.0,375.0,370.0,247.0,85.0,18.729411764705883,10.08235294117647,4.352941176470588
114,sj_9a96aa63b113f814,66,30,16,1288.0,630.0,299.0,302.0,199.0,56.0,22.017857142857142,11.25,5.392857142857143
115,sj_b356622e0c98eb01,30,12,7,1444.0,790.0,315.0,334.0,213.0,54.0,25.75925925925926,14.61111111111111,6.166666666666667
116,sj_8fc3e847d6671d78,26,12,7,701.0,342.0,190.0,192.0,129.0,41.0,16.121951219512194,8.341463414634147,4.682926829268292
117,sj_7db19536e5f99cea,37,16,12,1571.0,846.0,334.0,370.0,229.0,54.0,28.11111111111111,15.666666666666666,6.851851851851852
118,sj_526b4169cb216b07,37,16,8,1802.0,868.0,374.0,383.0,240.0,85.0,20.211764705882352,10.211764705882352,4.517647058823529
119,sj_cb3800a75a211599,52,26,15,1595.0,804.0,346.0,376.0,237.0,62.0,24.741935483870968,12.96774193548387,6.048387096774194
120,sj_8a096892ba4b2eb9,36,12,8,1587.0,854.0,341.0,388.0,244.0,54.0,28.40740740740741,15.814814814814815,7.185185185185185
